                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.89271,                0.70739,                 1.0324,                0.70485,                  0.625,                0.64055,                0.36507,                 1.6004,                 1.5347,                 1.5024,              0.0008714,              0.0008714,              0.0008714
                     59,                0.88175,                 0.6985,                 1.0725,                0.74635,                0.61344,                0.65641,                0.38506,                 1.5275,                 1.4718,                 1.4764,              0.0008516,              0.0008516,              0.0008516
                     60,                0.88292,                0.70019,                 1.0633,                0.66276,                0.66667,                0.61583,                0.37299,                 1.5303,                  1.566,                 1.5648,              0.0008318,              0.0008318,              0.0008318
                     61,                0.82024,                 0.6579,                 1.0089,                0.76162,                0.53293,                0.59166,                0.35748,                  1.538,                 1.7522,                 1.5857,               0.000812,               0.000812,               0.000812
                     62,                0.86995,                0.69148,                 1.0464,                0.77571,                    0.5,                0.58079,                0.35943,                 1.4389,                 1.7056,                 1.4839,              0.0007922,              0.0007922,              0.0007922
                     63,                0.85484,                0.64016,                 1.0284,                0.86368,                0.41667,                0.55367,                 0.3431,                 1.4403,                 1.6905,                 1.4795,              0.0007724,              0.0007724,              0.0007724
                     64,                0.84424,                0.65713,                 1.0286,                0.79966,                  0.499,                0.55952,                0.34654,                 1.5083,                 1.7557,                 1.5642,              0.0007526,              0.0007526,              0.0007526
                     65,                0.81985,                0.66151,                 1.0345,                0.95574,                    0.5,                0.55701,                0.34529,                 1.4821,                  1.846,                 1.5358,              0.0007328,              0.0007328,              0.0007328
                     66,                0.83908,                0.66303,                 1.0353,                0.96542,                    0.5,                0.58272,                0.37389,                 1.4615,                 1.6867,                 1.5345,               0.000713,               0.000713,               0.000713
                     67,                0.82014,                 0.6345,                 1.0189,                0.97532,                0.54167,                0.60797,                0.38338,                 1.4809,                 1.5974,                 1.5219,              0.0006932,              0.0006932,              0.0006932
                     68,                0.84287,                0.65273,                 1.0404,                 0.9283,                0.53961,                0.65606,                0.41363,                 1.5216,                 1.4956,                 1.5444,              0.0006734,              0.0006734,              0.0006734
                     69,                0.84889,                0.67284,                 1.0655,                      1,                0.54065,                0.67326,                0.40304,                 1.5588,                 1.4967,                 1.5357,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.8323,                0.63648,                 1.0198,                      1,                0.57917,                0.68229,                0.41177,                 1.5369,                 1.5216,                 1.5556,              0.0006338,              0.0006338,              0.0006338
                     71,                0.80326,                0.59484,                 1.0083,                0.93309,                0.58118,                0.66485,                0.37933,                 1.5818,                 1.4754,                 1.5821,               0.000614,               0.000614,               0.000614
                     72,                0.85459,                0.70199,                 1.0513,                0.86561,                0.53705,                0.60147,                0.37828,                 1.6064,                 1.5845,                 1.5584,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.7894,                0.58046,                0.99599,                0.91501,                    0.5,                0.59371,                0.37717,                 1.5706,                 1.6028,                  1.521,              0.0005744,              0.0005744,              0.0005744
                     74,                  0.788,                0.61399,                0.99434,                      1,                0.58033,                0.68664,                0.39558,                 1.5603,                 1.6441,                 1.5174,              0.0005546,              0.0005546,              0.0005546
                     75,                0.81031,                0.62146,                0.99417,                0.97143,                  0.625,                0.73116,                0.40109,                 1.5713,                 1.4785,                 1.5413,              0.0005348,              0.0005348,              0.0005348
                     76,                0.78981,                0.58082,                 1.0107,                0.88832,                0.66667,                0.72363,                0.40415,                 1.6214,                 1.3767,                 1.5422,               0.000515,               0.000515,               0.000515
                     77,                0.74809,                0.57427,                0.97418,                0.73129,                0.58333,                0.62487,                0.38686,                  1.656,                 1.3631,                 1.5911,              0.0004952,              0.0004952,              0.0004952
                     78,                0.76284,                0.61026,                 1.0106,                0.86512,                0.53488,                 0.6473,                0.39805,                 1.6725,                 1.3464,                 1.6177,              0.0004754,              0.0004754,              0.0004754
                     79,                0.73523,                0.56923,                0.99105,                0.82291,                0.58098,                0.70095,                0.43035,                   1.61,                 1.2825,                 1.6156,              0.0004556,              0.0004556,              0.0004556
                     80,                0.73363,                0.56544,                0.97389,                0.73963,                  0.625,                0.71006,                0.42788,                 1.5847,                 1.3062,                 1.6077,              0.0004358,              0.0004358,              0.0004358
                     81,                0.69734,                0.57534,                0.98827,                0.73492,                0.57785,                 0.6989,                0.40881,                 1.6005,                 1.3392,                 1.6137,               0.000416,               0.000416,               0.000416
                     82,                0.73068,                0.57116,                 0.9794,                0.77728,                0.58173,                0.69535,                0.42497,                 1.5355,                  1.358,                 1.5794,              0.0003962,              0.0003962,              0.0003962
                     83,                0.69596,                0.51899,                0.96323,                 0.7289,                0.67239,                0.71548,                0.42543,                 1.4888,                 1.3775,                 1.5673,              0.0003764,              0.0003764,              0.0003764
                     84,                0.67688,                0.53217,                0.97475,                0.69585,                  0.625,                0.69982,                0.41941,                 1.4673,                 1.4543,                 1.5231,              0.0003566,              0.0003566,              0.0003566
                     85,                0.66617,                0.51863,                0.97002,                0.80111,                0.58333,                0.68121,                0.42004,                 1.4692,                  1.493,                 1.4823,              0.0003368,              0.0003368,              0.0003368
                     86,                0.67268,                0.52769,                 0.9683,                0.90992,                0.54167,                0.69229,                0.42685,                 1.4911,                 1.4272,                 1.4728,               0.000317,               0.000317,               0.000317
                     87,                0.70505,                0.53113,                0.96885,                0.74526,                  0.625,                0.71598,                 0.4204,                 1.5552,                 1.3955,                 1.5155,              0.0002972,              0.0002972,              0.0002972
                     88,                0.68257,                0.55253,                0.95604,                0.75185,                0.66667,                 0.7507,                0.41074,                 1.5296,                 1.3879,                 1.5231,              0.0002774,              0.0002774,              0.0002774
                     89,                0.68132,                0.52463,                0.98227,                0.81198,                0.58333,                0.70986,                0.41002,                 1.4792,                 1.4568,                 1.4561,              0.0002576,              0.0002576,              0.0002576
                     90,                0.62246,                0.50415,                0.93445,                0.83267,                0.62219,                0.70101,                0.42382,                 1.4523,                  1.432,                 1.4349,              0.0002378,              0.0002378,              0.0002378
                     91,                0.58407,                 0.4523,                 0.9038,                 0.8683,                0.66667,                0.74146,                0.42493,                 1.4518,                 1.4341,                 1.4381,               0.000218,               0.000218,               0.000218
                     92,                0.55997,                0.42074,                 0.8832,                0.74025,                0.66667,                0.74246,                0.43325,                 1.4463,                 1.4247,                 1.4294,              0.0001982,              0.0001982,              0.0001982
                     93,                0.57285,                0.42485,                0.90926,                0.83581,                0.63677,                0.75478,                0.42454,                 1.4477,                 1.4504,                  1.424,              0.0001784,              0.0001784,              0.0001784
                     94,                0.55333,                0.42918,                0.87556,                0.88856,                0.66457,                0.74113,                0.42988,                 1.4442,                 1.4386,                  1.426,              0.0001586,              0.0001586,              0.0001586
                     95,                0.55099,                0.42504,                0.88274,                0.85591,                  0.625,                0.74033,                0.43027,                 1.4628,                 1.4646,                 1.4345,              0.0001388,              0.0001388,              0.0001388
                     96,                0.52421,                 0.4032,                0.89508,                0.93705,                0.62045,                0.73467,                 0.4233,                 1.5039,                 1.4823,                 1.4486,               0.000119,               0.000119,               0.000119
                     97,                0.50435,                0.40253,                0.85414,                0.93641,                0.61406,                0.73347,                0.42343,                 1.5031,                 1.4938,                 1.4405,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.53118,                0.40383,                0.86618,                 0.9362,                0.61201,                0.74003,                0.42771,                 1.5023,                 1.4861,                 1.4441,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.52957,                0.40303,                0.87986,                0.91345,                0.58333,                0.73582,                0.42413,                 1.4852,                 1.4951,                 1.4428,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.51866,                 0.3996,                0.87373,                      1,                0.61748,                0.74393,                0.44147,                 1.4601,                 1.4747,                 1.4368,               3.98e-05,               3.98e-05,               3.98e-05
