                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.67142,                0.61089,                  0.925,                0.75076,                0.66667,                0.71868,                0.41559,                 1.4414,                    1.6,                 1.3284,              0.0003764,              0.0003764,              0.0003764
                     84,                0.68486,                0.61115,                0.89386,                0.71015,                0.66667,                0.74665,                0.41786,                 1.4329,                 1.5817,                 1.3336,              0.0003566,              0.0003566,              0.0003566
                     85,                0.69579,                0.60641,                0.90993,                0.64593,                    0.8,                0.72512,                0.41776,                 1.4866,                 1.6113,                 1.3658,              0.0003368,              0.0003368,              0.0003368
                     86,                0.60292,                0.56059,                0.89754,                0.64739,                    0.8,                0.71131,                0.38329,                 1.5405,                  1.565,                 1.4026,               0.000317,               0.000317,               0.000317
                     87,                0.61093,                0.54365,                 0.8914,                0.65989,                0.77697,                0.72708,                0.39727,                 1.5723,                 1.5322,                 1.4321,              0.0002972,              0.0002972,              0.0002972
                     88,                0.68326,                0.61535,                0.92863,                0.66385,                    0.8,                0.73701,                0.40085,                 1.5653,                 1.5058,                 1.4345,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.6284,                0.57979,                0.89926,                0.65905,                    0.8,                0.73753,                0.41042,                 1.5424,                 1.4784,                 1.4179,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.5913,                0.56874,                0.89039,                 0.6659,                    0.8,                0.75758,                 0.4374,                 1.5093,                 1.4665,                 1.3887,              0.0002378,              0.0002378,              0.0002378
                     91,                0.54317,                0.57342,                0.83227,                0.75603,                0.73333,                0.76647,                0.45088,                 1.4944,                 1.4517,                 1.3667,               0.000218,               0.000218,               0.000218
                     92,                0.57149,                0.58399,                 0.8435,                0.77133,                0.73333,                0.76096,                0.44429,                 1.4777,                 1.4463,                 1.3461,              0.0001982,              0.0001982,              0.0001982
                     93,                0.52077,                0.53751,                0.84267,                 0.7826,                0.72074,                 0.7638,                0.46616,                 1.4556,                 1.4563,                 1.3302,              0.0001784,              0.0001784,              0.0001784
                     94,                0.56136,                 0.5733,                0.83135,                 0.8427,                0.71536,                 0.7633,                0.45739,                 1.4562,                 1.4787,                 1.3312,              0.0001586,              0.0001586,              0.0001586
                     95,                0.53797,                0.56642,                0.87088,                0.83356,                0.73333,                0.75784,                0.45242,                 1.4569,                  1.488,                 1.3357,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.5238,                0.57657,                0.85595,                0.82866,                0.73333,                0.77165,                0.46577,                  1.461,                 1.5016,                 1.3407,               0.000119,               0.000119,               0.000119
                     97,                0.51269,                0.54271,                0.87374,                0.86246,                0.73333,                 0.7654,                0.45847,                 1.4658,                 1.5184,                 1.3514,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.51643,                0.55198,                 0.8279,                0.91604,                0.72785,                 0.7586,                0.45754,                 1.4766,                 1.5418,                 1.3607,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.48557,                 0.5376,                0.84812,                0.91269,                0.73333,                0.75657,                0.45267,                 1.4806,                 1.5554,                 1.3663,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.49424,                0.53074,                0.83681,                0.91635,                0.73059,                0.75473,                0.44307,                 1.4854,                 1.5735,                 1.3709,               3.98e-05,               3.98e-05,               3.98e-05
